Common Name English	AOU 	GenusSpecies	FourLetter
(Audubon's Warbler) Yellow-rumped Warbler	6560	#N/A	#N/A
(Black Brant) Brant	1740	#N/A	#N/A
(Blue Goose) Snow Goose	1691	#N/A	#N/A
(Gray-headed Junco) Dark-eyed Junco	5690	#N/A	#N/A
(Harlan's Hawk) Red-tailed Hawk	3380	#N/A	#N/A
(Mexican Duck) Mallard	1331	#N/A	#N/A
(Myrtle Warbler) Yellow-rumped Warbler	6550	#N/A	#N/A
(Oregon Junco) Dark-eyed Junco	5671	#N/A	#N/A
(Pink-sided Junco) Dark-eyed Junco	5680	#N/A	#N/A
(Red-shafted Flicker) Northern Flicker	4130	#N/A	#N/A
(Slate-colored Junco) Dark-eyed Junco	5670	#N/A	#N/A
(unid. Myrtle/Audubon's) Yellow-rumped Warbler	6556	#N/A	#N/A
(unid. race) Dark-eyed Junco	5677	#N/A	#N/A
(unid. Red/Yellow Shafted) Northern Flicker	4123	#N/A	#N/A
(White-winged Junco) Dark-eyed Junco	5660	#N/A	#N/A
(Yellow-shafted Flicker) Northern Flicker	4120	#N/A	#N/A
Abert's Towhee	5920	Melozone aberti	ABTO
Acadian Flycatcher	4650	Empidonax virescens	ACFL
Acorn Woodpecker	4070	Melanerpes formicivorus	ACWO
African Collared-Dove (a.k.a. Ringed Turtle-Dove)	3152	#N/A	#N/A
Agami Heron	10150	Agamia agami	AGHE
Alder Flycatcher	4661	Empidonax alnorum	ALFL
Aleutian Tern	730	Onychoprion aleuticus	ALTE
Allen's Hummingbird	4340	Selasphorus sasin	ALHU
Altamira Oriole	5031	Icterus gularis	ALOR
Altamira Yellowthroat	17580	Geothlypis flavovelata	ALYE
Amazon Kingfisher	13530	Chloroceryle amazona	AMKI
American Avocet	2250	Recurvirostra americana	AMAV
American Bittern	1900	Botaurus lentiginosus	AMBI
American Black Duck	1330	Anas rubripes	ABDU
American Coot	2210	Fulica americana	AMCO
American Crow	4880	Corvus brachyrhynchos	AMCR
American Dipper	7010	Cinclus mexicanus	AMDI
American Flamingo	1820	Phoenicopterus ruber	AMFL
American Golden-Plover	2720	Pluvialis dominica	AMGP
American Goldfinch	5290	Spinus tristis	AMGO
American Kestrel	3600	Falco sparverius	AMKE
American Oystercatcher	2860	Haematopus palliatus	AMOY
American Pipit	6970	Anthus rubescens	AMPI
American Redstart	6870	Setophaga ruticilla	AMRE
American Robin	7610	Turdus migratorius	AMRO
American Three-toed Woodpecker	4010	Picoides dorsalis	ATTW
American Tree Sparrow	5590	Spizella arborea	ATSP
American White Pelican	1250	Pelecanus erythrorhynchos	AWPE
American Wigeon	1370	Anas americana	AMWI
